code,date,clientID,resTaxID,status
442959,2019-10-23 15:04:39,97411,67372,DELIVERED
254872,2019-06-04 07:57:00,79068,59675,IN_PROCESS
596893,2019-12-04 23:50:59,13177,25582,REQUESTED
13897,2018-11-11 04:24:32,1943,13256,SHIPPED
59088,2019-06-07 07:31:48,50564,71120,REQUESTED
126193,2018-05-01 04:19:23,40122,85929,IN_PROCESS
74706,2018-01-13 10:34:12,51924,13409,DELIVERED
199135,2018-06-14 03:11:04,78870,54158,IN_PROCESS
124054,2018-11-21 22:19:04,67577,77852,REQUESTED
614823,2018-06-22 20:41:08,46994,61070,DELIVERED
452994,2019-02-19 07:07:34,21549,36820,REQUESTED
562806,2017-09-27 02:07:30,56199,75987,SHIPPED
55265,2020-09-21 17:52:28,42833,20440,IN_PROCESS
547534,2020-08-15 05:15:27,13836,21163,IN_PROCESS
865340,2019-05-30 16:39:27,67105,26687,REQUESTED
264612,2019-06-16 08:15:39,77696,99836,REQUESTED
581543,2019-08-02 14:15:59,4279,90580,DELIVERED
530096,2018-08-23 12:48:01,65473,11673,SHIPPED
886409,2019-07-29 23:48:44,75930,16007,IN_PROCESS
204306,2018-08-08 22:29:56,97027,78465,DELIVERED
529186,2019-03-29 03:57:10,65229,2519,DELIVERED
185410,2020-02-27 07:03:41,53204,94954,DELIVERED
21428,2020-09-15 21:13:48,46378,80588,IN_PROCESS
10669,2019-03-01 22:41:32,66380,54949,REQUESTED
549205,2019-02-20 00:03:17,95449,98599,IN_PROCESS
33279,2019-06-13 06:27:58,10889,78921,IN_PROCESS
647658,2019-05-11 14:42:32,34931,92329,IN_PROCESS
402418,2018-10-03 11:11:20,38525,3583,IN_PROCESS
993602,2019-06-04 03:58:04,18121,23656,IN_PROCESS
851940,2019-03-15 14:00:07,46247,87941,DELIVERED
188319,2018-12-03 07:20:59,78451,5318,IN_PROCESS
597202,2019-03-02 17:39:59,2143,10822,SHIPPED
32882,2018-08-14 06:54:06,64952,52236,REQUESTED
507754,2019-05-12 01:38:26,40016,39867,SHIPPED
123706,2019-10-11 04:01:12,90657,99917,IN_PROCESS
792944,2018-06-05 17:51:08,17189,4097,DELIVERED
519629,2019-05-02 04:14:00,3265,19586,IN_PROCESS
941616,2019-08-15 06:56:59,84973,421,DELIVERED
725501,2020-08-26 20:31:46,74778,81714,DELIVERED
269178,2018-03-09 17:11:40,36574,42773,IN_PROCESS
467657,2017-12-06 20:31:18,44246,90521,IN_PROCESS
190754,2019-07-14 23:50:53,15923,32410,IN_PROCESS
857915,2019-07-31 05:50:36,33294,94203,REQUESTED
784854,2019-10-27 03:37:28,66107,59049,IN_PROCESS
170153,2019-03-28 14:37:05,76585,92470,REQUESTED
269228,2018-02-06 17:34:43,63279,4208,IN_PROCESS
146300,2019-10-14 21:14:38,75413,30411,IN_PROCESS
974454,2019-10-30 22:31:08,16384,57648,DELIVERED
954808,2019-04-30 06:47:44,42023,72784,SHIPPED
638060,2020-09-08 15:01:40,3246,48605,SHIPPED
665651,2018-11-30 22:11:44,8371,50257,IN_PROCESS
649211,2019-01-28 14:47:34,81678,17903,IN_PROCESS
750778,2018-08-11 12:49:04,15704,56115,IN_PROCESS
469606,2020-01-15 23:45:28,76859,8565,IN_PROCESS
520656,2018-05-30 12:47:16,55816,94732,DELIVERED
239529,2018-11-28 16:04:37,10249,15209,REQUESTED
826383,2019-12-05 12:40:55,8803,64085,SHIPPED
308483,2019-06-15 10:36:19,66295,91573,IN_PROCESS
595690,2020-06-21 22:10:37,91347,7399,SHIPPED
608912,2018-12-28 10:00:27,23608,4859,REQUESTED
798239,2017-10-13 14:05:21,8724,68698,DELIVERED
761304,2018-11-09 08:04:08,91841,49547,SHIPPED
384243,2020-07-25 05:36:06,72692,54587,REQUESTED
416236,2019-05-15 09:27:34,31106,22746,REQUESTED
8561,2019-03-29 20:10:42,50479,38169,IN_PROCESS
