code,product,desc,price
6526,Enhanced,ipsum primis in faucibus orci luctus et,7.52
9773,client-driven,turpis integer aliquet massa id lobortis convallis,71.74
4908,project,sagittis nam congue risus semper porta,8.7
2163,Optimized,lorem ipsum dolor sit amet consectetuer,9.65
1714,policy,erat nulla tempus vivamus in felis,82.22
1077,Ameliorated,ut at dolor quis odio consequat varius integer ac leo,67.6
1204,zero tolerance,venenatis lacinia aenean sit amet justo morbi ut odio,11.05
5351,function,cursus urna ut tellus nulla ut erat id mauris vulputate,95.48
1539,global,dapibus duis at velit eu est congue elementum in,49.12
8773,regional,mauris laoreet ut rhoncus aliquet pulvinar sed,81.65
3582,local area network,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,36.84
2178,zero tolerance,volutpat eleifend donec ut dolor,80.51
7453,encompassing,nunc purus phasellus in felis donec semper sapien,34.97
2466,Expanded,cras mi pede malesuada in imperdiet et commodo vulputate justo,90.44
2554,orchestration,semper interdum mauris ullamcorper purus,1.9
7692,Progressive,dictumst maecenas ut massa quis augue luctus tincidunt nulla,35.4
1236,homogeneous,faucibus orci luctus et ultrices,54.51
6885,national,ante ipsum primis in faucibus orci luctus et,85.07
1435,directional,sit amet eros suspendisse accumsan tortor,80.78
271,Focused,nam congue risus semper porta volutpat quam pede lobortis,46.5
6102,hybrid,eget eleifend luctus ultricies eu nibh,64.99
717,application,id lobortis convallis tortor risus dapibus augue vel,76.21
2119,Ergonomic,non quam nec dui luctus rutrum nulla,3.64
3382,non-volatile,nulla ut erat id mauris vulputate elementum nullam varius,90.74
5164,support,at ipsum ac tellus semper,50.02
9052,standardization,cubilia curae nulla dapibus dolor vel est donec odio justo,35.74
9971,focus group,lorem vitae mattis nibh ligula nec sem duis,23.13
894,productivity,lectus suspendisse potenti in eleifend quam a odio in hac,31.1
3986,secured line,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,41.63
2468,Proactive,erat id mauris vulputate elementum nullam varius,43.31
1007,full-range,sed lacus morbi sem mauris laoreet ut rhoncus aliquet,93.26
2819,fault-tolerant,tincidunt ante vel ipsum praesent blandit lacinia erat,78.75
3152,bi-directional,dictumst morbi vestibulum velit id pretium iaculis diam erat,21.67
1718,Progressive,nunc commodo placerat praesent blandit,55.57
2816,Robust,ligula suspendisse ornare consequat lectus in est risus auctor sed,4.57
190,Mandatory,aliquam erat volutpat in congue etiam justo,51.59
7246,foreground,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,51.04
3677,mobile,sapien cursus vestibulum proin eu mi nulla ac,64.74
1262,Programmable,venenatis turpis enim blandit mi in porttitor pede justo,28.25
6048,user-facing,eleifend donec ut dolor morbi vel,86.43
3378,Grass-roots,amet sapien dignissim vestibulum vestibulum,55.51
5126,model,odio condimentum id luctus nec molestie sed,6.49
6038,Object-based,id nisl venenatis lacinia aenean sit amet justo,47.84
818,productivity,donec odio justo sollicitudin ut suscipit a feugiat,89.67
6447,database,nulla tellus in sagittis dui vel,67.14
2714,User-centric,at dolor quis odio consequat varius integer ac leo,55.88
1595,Networked,sapien a libero nam dui proin leo,32.22
5158,Ameliorated,nullam orci pede venenatis non sodales sed tincidunt eu felis,87.68
1480,moderator,sit amet nulla quisque arcu libero rutrum,46.22
1607,full-range,mauris morbi non lectus aliquam,36.62
1247,application,lobortis vel dapibus at diam nam tristique tortor eu pede,22.97
62,discrete,vel pede morbi porttitor lorem id,48.0
361,methodical,dui vel sem sed sagittis nam congue risus semper porta,68.4
9185,De-engineered,pellentesque ultrices phasellus id sapien in sapien iaculis congue,73.34
5759,architecture,maecenas ut massa quis augue,44.98
5999,5th generation,ligula suspendisse ornare consequat lectus in est risus auctor sed,91.19
1372,Distributed,morbi a ipsum integer a nibh in,90.55
616,Synchronised,justo lacinia eget tincidunt eget tempus vel pede morbi,31.37
9443,hierarchy,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,52.51
9951,Inverse,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus,42.36
3782,Sharable,sem praesent id massa id nisl venenatis lacinia aenean,27.4
4060,Customer-focused,eu magna vulputate luctus cum sociis,86.4
8726,archive,ut blandit non interdum in ante vestibulum ante ipsum,39.55
9675,Networked,suspendisse potenti nullam porttitor lacus at turpis donec posuere,55.52
9685,responsive,dui nec nisi volutpat eleifend donec ut dolor morbi vel,48.54
7927,strategy,ut blandit non interdum in ante vestibulum ante ipsum,71.67
6870,Profit-focused,sapien cum sociis natoque penatibus,76.12
1574,impactful,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,17.07
2642,logistical,risus dapibus augue vel accumsan tellus nisi eu,34.27
9507,User-friendly,iaculis justo in hac habitasse platea dictumst,48.45
7712,Compatible,a pede posuere nonummy integer non,48.04
320,secured line,aenean fermentum donec ut mauris eget massa tempor convallis,82.09
3059,holistic,convallis nulla neque libero convallis eget eleifend luctus ultricies,74.65
3479,Realigned,dis parturient montes nascetur ridiculus mus,14.02
1828,open architecture,posuere cubilia curae nulla dapibus dolor vel est donec odio,11.02
3347,bandwidth-monitored,habitasse platea dictumst etiam faucibus cursus,94.93
1856,national,ante nulla justo aliquam quis turpis eget elit sodales scelerisque,86.7
4921,collaboration,dolor morbi vel lectus in quam fringilla,80.89
5833,Triple-buffered,vel ipsum praesent blandit lacinia erat vestibulum sed magna at,91.12
9122,artificial intelligence,amet eros suspendisse accumsan tortor quis turpis,63.25
4339,orchestration,lorem quisque ut erat curabitur gravida nisi at nibh in,24.17
8613,Graphical User Interface,non mattis pulvinar nulla pede ullamcorper,22.66
8465,upward-trending,iaculis diam erat fermentum justo nec condimentum neque sapien,84.68
9418,software,nisl nunc nisl duis bibendum felis sed interdum,39.19
8214,Phased,scelerisque quam turpis adipiscing lorem,76.13
7260,Synergized,velit donec diam neque vestibulum eget vulputate ut ultrices vel,60.88
9478,systemic,amet consectetuer adipiscing elit proin interdum mauris non ligula,77.28
8259,context-sensitive,nunc proin at turpis a pede posuere nonummy integer non,44.61
7100,Total,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,60.92
5244,Streamlined,non mi integer ac neque duis bibendum morbi,84.91
5951,matrices,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,24.79
8192,Managed,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,6.09
6253,Customer-focused,magna at nunc commodo placerat praesent blandit nam nulla,60.62
8528,info-mediaries,curabitur at ipsum ac tellus,5.86
6128,directional,turpis sed ante vivamus tortor duis mattis,12.65
6328,Open-architected,odio condimentum id luctus nec molestie sed justo pellentesque viverra,80.19
8871,User-centric,pede ac diam cras pellentesque volutpat dui maecenas tristique est,9.81
8327,exuding,diam vitae quam suspendisse potenti nullam porttitor lacus,57.47
6203,Multi-tiered,diam neque vestibulum eget vulputate ut ultrices vel augue,97.46
6195,Organized,eleifend luctus ultricies eu nibh quisque id justo sit,97.6
6437,Virtual,dui luctus rutrum nulla tellus in sagittis dui vel nisl,5.39
366,methodical,cursus id turpis integer aliquet massa,36.83
5947,Synergistic,auctor gravida sem praesent id massa id nisl venenatis,77.43
5823,Team-oriented,vulputate justo in blandit ultrices enim lorem ipsum dolor sit,70.02
3264,Stand-alone,non sodales sed tincidunt eu felis fusce posuere,26.26
3953,heuristic,enim sit amet nunc viverra dapibus nulla suscipit,86.48
1248,object-oriented,eget orci vehicula condimentum curabitur in libero ut massa,59.33
2349,strategy,tellus nulla ut erat id mauris,22.52
1039,Automated,vel lectus in quam fringilla rhoncus,84.9
9614,Optimized,sapien sapien non mi integer ac neque,5.59
202,structure,lacinia sapien quis libero nullam sit amet turpis,18.49
8074,asynchronous,faucibus orci luctus et ultrices,25.08
9934,utilisation,magna bibendum imperdiet nullam orci pede,80.97
74,6th generation,est congue elementum in hac habitasse platea dictumst morbi,54.71
8001,discrete,mattis nibh ligula nec sem duis aliquam convallis nunc,33.5
5597,data-warehouse,interdum eu tincidunt in leo maecenas,4.0
700,benchmark,donec posuere metus vitae ipsum,8.9
4634,complexity,ipsum primis in faucibus orci,69.21
421,non-volatile,sit amet lobortis sapien sapien non mi,49.46
2370,Pre-emptive,velit vivamus vel nulla eget eros elementum,61.38
9346,migration,at ipsum ac tellus semper interdum mauris,6.23
7338,De-engineered,arcu adipiscing molestie hendrerit at vulputate,38.77
4111,installation,fermentum justo nec condimentum neque sapien placerat,52.61
6770,transitional,velit eu est congue elementum in hac habitasse platea dictumst,1.92
9698,array,in blandit ultrices enim lorem ipsum,7.38
1196,Object-based,odio cras mi pede malesuada,48.6
5840,bifurcated,lectus pellentesque at nulla suspendisse potenti cras in,58.96
4934,pricing structure,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,56.14
6966,real-time,amet sem fusce consequat nulla nisl nunc,64.77
1109,Open-source,faucibus orci luctus et ultrices,68.07
4427,archive,convallis nunc proin at turpis a,33.16
8324,Customizable,aenean lectus pellentesque eget nunc,42.32
6804,regional,in eleifend quam a odio,14.47
2623,info-mediaries,blandit nam nulla integer pede justo,98.26
7205,superstructure,consequat dui nec nisi volutpat eleifend donec ut dolor morbi,36.59
7116,multi-state,odio in hac habitasse platea dictumst maecenas,19.55
480,Organized,in faucibus orci luctus et ultrices posuere cubilia,60.17
2631,neutral,eget vulputate ut ultrices vel augue vestibulum ante ipsum,93.38
5502,uniform,suscipit nulla elit ac nulla sed vel enim sit,36.6
5520,Open-architected,donec vitae nisi nam ultrices libero non mattis pulvinar,62.24
7382,explicit,adipiscing lorem vitae mattis nibh ligula nec sem duis,51.4
4531,Multi-lateral,suscipit ligula in lacus curabitur at,77.38
6537,intranet,in tempor turpis nec euismod scelerisque quam turpis adipiscing,92.74
5129,foreground,turpis eget elit sodales scelerisque mauris sit amet,53.91
6849,background,vestibulum ac est lacinia nisi venenatis tristique fusce,40.84
5937,Focused,viverra dapibus nulla suscipit ligula,7.44
505,Graphical User Interface,vitae consectetuer eget rutrum at,6.72
1967,forecast,aliquet pulvinar sed nisl nunc rhoncus,10.24
4191,Programmable,lobortis est phasellus sit amet erat nulla tempus vivamus in,77.81
4250,internet solution,augue vel accumsan tellus nisi eu orci mauris lacinia sapien,88.34
5368,ability,in sapien iaculis congue vivamus metus arcu adipiscing molestie,4.59
9930,internet solution,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,70.47
3681,encryption,eleifend luctus ultricies eu nibh quisque id,75.91
7863,Versatile,venenatis tristique fusce congue diam id ornare,41.26
958,Switchable,at velit vivamus vel nulla eget eros elementum pellentesque quisque,71.91
5145,Vision-oriented,nullam molestie nibh in lectus,82.38
2029,projection,in leo maecenas pulvinar lobortis est,13.31
7383,optimal,mi nulla ac enim in tempor turpis,38.17
5057,Graphical User Interface,vestibulum ante ipsum primis in faucibus orci luctus,16.49
7854,Synergized,ipsum ac tellus semper interdum mauris ullamcorper purus,94.2
9453,adapter,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,44.58
7072,Expanded,dapibus dolor vel est donec odio,79.79
7109,client-server,est phasellus sit amet erat nulla tempus vivamus in felis,53.02
772,Balanced,molestie lorem quisque ut erat curabitur gravida nisi,53.93
6868,Streamlined,integer tincidunt ante vel ipsum praesent,28.2
65,encoding,pulvinar nulla pede ullamcorper augue a,97.14
471,solution-oriented,ligula sit amet eleifend pede libero quis orci nullam molestie,8.63
7465,standardization,integer ac leo pellentesque ultrices mattis,83.37
558,customer loyalty,ante ipsum primis in faucibus orci luctus et ultrices,55.6
2157,success,nulla quisque arcu libero rutrum ac,44.64
104,holistic,eget orci vehicula condimentum curabitur in libero ut,84.36
6295,Cloned,nulla nunc purus phasellus in felis donec semper,48.06
5327,systemic,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,64.69
5221,disintermediate,curae donec pharetra magna vestibulum aliquet ultrices,88.69
2901,frame,eu felis fusce posuere felis sed lacus,90.22
2735,Reverse-engineered,mauris viverra diam vitae quam suspendisse,22.31
148,next generation,massa id nisl venenatis lacinia aenean sit amet justo morbi,63.57
5612,upward-trending,et magnis dis parturient montes nascetur ridiculus mus vivamus,17.8
1126,Diverse,in felis donec semper sapien a libero,94.4
5955,Seamless,cursus id turpis integer aliquet massa id lobortis convallis tortor,5.63
764,Distributed,donec dapibus duis at velit eu est congue,56.81
9881,infrastructure,gravida sem praesent id massa id,96.61
8215,framework,blandit ultrices enim lorem ipsum dolor,66.08
5040,Horizontal,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,62.54
7978,Decentralized,eget semper rutrum nulla nunc purus phasellus in felis donec,24.31
5499,leading edge,amet nulla quisque arcu libero rutrum ac lobortis vel,4.61
2651,product,nunc donec quis orci eget orci vehicula condimentum,72.14
7699,user-facing,morbi non quam nec dui,18.19
6523,value-added,sit amet eleifend pede libero quis,86.74
134,Reduced,faucibus orci luctus et ultrices posuere cubilia curae mauris,20.15
681,time-frame,enim blandit mi in porttitor pede justo eu massa donec,52.11
5919,User-centric,pede ullamcorper augue a suscipit nulla,97.92
2790,demand-driven,eget elit sodales scelerisque mauris sit,91.35
5501,heuristic,in lacus curabitur at ipsum ac tellus semper interdum mauris,94.56
4166,leverage,rutrum neque aenean auctor gravida sem praesent,62.87
1888,local,a ipsum integer a nibh,86.39
8816,reciprocal,eget eleifend luctus ultricies eu nibh,66.39
6013,national,est congue elementum in hac habitasse,24.56
3549,global,consectetuer eget rutrum at lorem integer tincidunt ante,8.15
1383,structure,aliquam erat volutpat in congue etiam justo etiam pretium,88.85
5322,24/7,id justo sit amet sapien dignissim,5.05
6665,explicit,amet nunc viverra dapibus nulla suscipit ligula,84.06
5759,impactful,curae donec pharetra magna vestibulum,22.84
3471,incremental,est donec odio justo sollicitudin ut suscipit a feugiat,46.91
2717,Balanced,quis lectus suspendisse potenti in,48.56
4000,Stand-alone,lorem ipsum dolor sit amet consectetuer adipiscing elit proin,36.68
8707,Automated,enim in tempor turpis nec euismod,87.83
202,Multi-lateral,quisque porta volutpat erat quisque erat eros viverra,13.72
8689,orchestration,lobortis est phasellus sit amet erat nulla,12.53
8920,Triple-buffered,luctus et ultrices posuere cubilia curae donec pharetra magna,95.06
9626,task-force,id lobortis convallis tortor risus dapibus,53.29
4661,scalable,non mattis pulvinar nulla pede ullamcorper augue,64.82
4079,Self-enabling,dui vel sem sed sagittis,20.72
2166,systemic,quam pharetra magna ac consequat metus sapien,34.17
7745,artificial intelligence,platea dictumst maecenas ut massa,78.64
7379,conglomeration,potenti nullam porttitor lacus at turpis donec posuere,9.96
7707,Multi-lateral,mi nulla ac enim in,66.62
7284,strategy,blandit mi in porttitor pede,45.86
2070,Advanced,posuere felis sed lacus morbi sem,52.24
5034,Innovative,maecenas rhoncus aliquam lacus morbi quis tortor id,66.09
940,object-oriented,urna ut tellus nulla ut erat id mauris,87.59
8934,capacity,morbi non quam nec dui luctus rutrum nulla tellus in,53.78
2979,mobile,integer non velit donec diam neque,78.02
1131,Multi-layered,quam pharetra magna ac consequat metus sapien,67.04
2660,infrastructure,volutpat sapien arcu sed augue aliquam erat volutpat,62.88
8517,flexibility,eu nibh quisque id justo sit amet sapien dignissim,37.0
5190,intranet,pellentesque quisque porta volutpat erat quisque erat,98.35
3931,homogeneous,tincidunt eu felis fusce posuere,93.27
182,structure,diam erat fermentum justo nec condimentum,64.28
3770,methodology,faucibus accumsan odio curabitur convallis,29.96
7463,value-added,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,40.17
6118,array,amet erat nulla tempus vivamus in felis eu,94.2
2521,support,non sodales sed tincidunt eu felis fusce posuere felis,79.3
3674,hybrid,erat nulla tempus vivamus in felis eu sapien cursus vestibulum,51.35
9135,open architecture,maecenas ut massa quis augue luctus tincidunt nulla mollis,80.87
8773,utilisation,id ornare imperdiet sapien urna pretium nisl ut,61.72
5298,Universal,eget nunc donec quis orci eget orci vehicula condimentum curabitur,64.86
7658,system engine,luctus tincidunt nulla mollis molestie,83.99
9223,Enhanced,lorem id ligula suspendisse ornare,42.32
9728,client-driven,adipiscing elit proin risus praesent lectus vestibulum,4.63
957,algorithm,in hac habitasse platea dictumst aliquam,70.19
4708,User-friendly,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,51.23
6794,matrix,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,5.57
5969,Pre-emptive,cum sociis natoque penatibus et magnis dis parturient montes,54.52
2647,Synergistic,sodales scelerisque mauris sit amet eros,26.54
742,5th generation,habitasse platea dictumst maecenas ut massa quis augue,77.09
7443,mission-critical,lacus purus aliquet at feugiat non pretium quis lectus,81.84
4452,bottom-line,consectetuer eget rutrum at lorem,74.36
9326,Persistent,id sapien in sapien iaculis congue,13.03
1425,bi-directional,ligula sit amet eleifend pede libero quis,25.78
4089,Profit-focused,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,49.81
8631,Visionary,donec diam neque vestibulum eget vulputate,1.25
5547,middleware,magna vestibulum aliquet ultrices erat,44.0
7780,model,vehicula consequat morbi a ipsum integer a nibh in,53.17
1555,asymmetric,hendrerit at vulputate vitae nisl aenean lectus pellentesque,15.39
6188,collaboration,turpis donec posuere metus vitae ipsum aliquam,56.25
1617,even-keeled,vel augue vestibulum rutrum rutrum neque,6.55
5019,info-mediaries,adipiscing lorem vitae mattis nibh,63.14
7400,incremental,convallis nunc proin at turpis a,10.92
3015,User-centric,diam neque vestibulum eget vulputate ut ultrices vel,47.66
9215,directional,at velit vivamus vel nulla eget eros,53.88
9329,superstructure,ridiculus mus etiam vel augue vestibulum,28.83
4737,middleware,aliquet maecenas leo odio condimentum id luctus,59.68
4175,Robust,massa id nisl venenatis lacinia aenean sit amet,91.07
4385,systematic,in faucibus orci luctus et ultrices posuere,96.96
1343,adapter,velit nec nisi vulputate nonummy maecenas tincidunt lacus at,82.89
6987,Right-sized,dis parturient montes nascetur ridiculus,79.64
1924,knowledge user,in quis justo maecenas rhoncus aliquam lacus morbi quis,69.76
1095,Profound,at ipsum ac tellus semper,47.28
7842,functionalities,libero nullam sit amet turpis,15.78
6352,Multi-lateral,varius nulla facilisi cras non velit nec nisi vulputate,59.41
3672,success,et commodo vulputate justo in blandit ultrices enim lorem ipsum,25.81
7940,Intuitive,nulla tempus vivamus in felis,42.54
7472,Assimilated,quis turpis eget elit sodales,71.58
1583,radical,donec semper sapien a libero,63.28
839,access,sapien a libero nam dui proin,51.5
5969,Multi-tiered,lacus morbi quis tortor id nulla,21.0
9568,Expanded,odio in hac habitasse platea dictumst maecenas ut,70.58
3773,benchmark,pede morbi porttitor lorem id,77.45
9632,standardization,dolor sit amet consectetuer adipiscing elit,53.79
6843,Pre-emptive,curae mauris viverra diam vitae quam suspendisse,68.07
9382,algorithm,dui vel nisl duis ac nibh fusce lacus,65.85
3001,strategy,purus aliquet at feugiat non pretium quis,75.24
8542,architecture,nascetur ridiculus mus etiam vel augue vestibulum rutrum,4.38
9788,analyzer,consequat metus sapien ut nunc vestibulum ante ipsum primis,22.98
8747,web-enabled,lacinia erat vestibulum sed magna at nunc,10.67
899,bifurcated,mattis odio donec vitae nisi,28.1
2271,extranet,sed sagittis nam congue risus semper porta volutpat,60.77
1869,model,quam nec dui luctus rutrum nulla tellus in,29.6
